rewards,stimuli,actions,sub
0,[0 0 1 1],1.6172712240359481,0
1,[1 1 0 1],1.6614240631147934,0
0,[0 0 1 1],0.9329729599328712,0
0,[0 0 1 1],0.7377824108454122,0
0,[1 1 1 0],2.3394726200901985,0
0,[1 1 0 1],0.7020345916830173,0
1,[1 1 1 0],0.6931727710461975,0
1,[1 1 1 0],1.4081220436113226,0
1,[1 1 1 0],1.0054245048337715,0
1,[1 1 0 1],1.0334284947452297,0
0,[0 0 1 1],0.6333058081182446,0
1,[1 1 1 0],1.306814418347285,0
0,[1 1 0 1],0.7201940727073041,0
0,[1 1 0 1],0.6475331831364721,0
0,[0 0 1 1],0.3859898751751201,0
1,[1 1 1 0],0.6237955438111815,0
1,[1 1 1 0],1.3034663761637182,0
1,[1 1 1 0],1.1684074585282451,0
1,[1 1 0 1],0.9434286514176609,0
0,[0 0 1 1],0.9455384913371808,0
0,[0 0 1 1],0.6306820224861427,0
1,[1 1 1 0],1.6180464928327074,0
1,[1 1 1 0],1.2212683896711367,0
1,[1 1 1 0],0.9444005968409903,0
0,[0 0 1 1],0.7964477855107368,0
1,[1 1 0 1],1.1534155824161862,0
1,[1 1 1 0],1.317765962173316,0
0,[1 1 0 1],1.209618279470696,0
1,[1 1 0 1],0.6777489525818423,0
1,[1 1 1 0],1.261118867578024,0
1,[1 1 1 0],1.4868934284455857,0
0,[0 0 1 1],0.5353983923101263,0
0,[1 1 0 1],0.9383999461735115,0
0,[1 1 0 1],0.7055794790603213,0
1,[1 1 1 0],0.7173280989031414,0
0,[1 1 0 1],0.9289211176812073,0
0,[0 0 1 1],0.5488431019495077,0
0,[1 1 0 1],0.9702586362912553,0
0,[0 0 1 1],0.5188687587808101,0
0,[0 0 1 1],0.7785151060401474,0
0,[0 0 1 1],0.8169104615525686,0
0,[0 0 1 1],0.8277486048378155,0
1,[1 1 1 0],1.4412290569546113,0
1,[1 1 1 0],0.9263847889847142,0
1,[1 1 1 0],1.3249991072736387,0
0,[0 0 1 1],0.8369649929273446,0
0,[0 0 1 1],0.7352005148821272,0
1,[0 0 1 1],0.815853984715699,0
1,[1 1 0 1],1.0768857167499393,0
1,[1 1 0 1],1.000562018145938,0
1,[0 0 1 1],1.1880641857679815,0
1,[1 1 0 1],1.3513093655261266,0
0,[0 0 1 1],1.19923439614153,0
1,[0 0 1 1],1.0130544959023975,0
0,[1 1 1 0],1.2581517483770397,0
0,[1 1 0 1],0.6882225122591965,0
0,[1 1 1 0],1.1427949510094257,0
0,[1 1 1 0],0.43475847679029134,0
0,[1 1 1 0],0.7548487737815537,0
1,[1 1 0 1],0.4313186769303611,0
1,[0 0 1 1],0.760572006558297,0
0,[1 1 1 0],1.0116575843802051,0
0,[1 1 0 1],1.0876929101985193,0
0,[1 1 0 1],0.8637207645431659,0
1,[0 0 1 1],1.0586617787301558,0
0,[1 1 1 0],0.59699249637644,0
0,[1 1 1 0],0.7333146849434323,0
0,[1 1 1 0],0.5621179691195779,0
1,[1 1 0 1],0.2731375079764919,0
1,[0 0 1 1],1.3584812558368404,0
1,[0 0 1 1],1.634881391092733,0
0,[1 1 1 0],1.282359265665681,0
0,[1 1 1 0],0.9939706218806933,0
0,[1 1 1 0],0.5045397796698722,0
1,[0 0 1 1],1.168972406302074,0
1,[1 1 0 1],1.1327135996120725,0
0,[1 1 1 0],0.8947021852797512,0
0,[1 1 0 1],1.0703978065891069,0
1,[1 1 0 1],0.708937331657506,0
0,[1 1 1 0],1.2430796457072235,0
0,[1 1 1 0],0.29057259328765134,0
1,[0 0 1 1],1.5015199447337781,0
0,[1 1 0 1],0.9574698386781506,0
0,[1 1 0 1],1.0809057008941299,0
0,[1 1 1 0],0.12512847589654796,0
0,[1 1 0 1],0.9028619885939396,0
1,[0 0 1 1],1.0728740195809439,0
0,[1 1 0 1],1.0813040756345393,0
1,[0 0 1 1],0.9495281888882049,0
1,[0 0 1 1],1.144040238357584,0
1,[0 0 1 1],0.8794292214388504,0
1,[0 0 1 1],1.2365256144950225,0
0,[1 1 1 0],0.4866015160754363,0
0,[1 1 1 0],0.4688702207862891,0
0,[1 1 1 0],0.49108345858304625,0
1,[0 0 1 1],1.1512092080975251,0
1,[0 0 1 1],1.481690085711056,0
1,[0 0 1 1],1.0531695588009526,0
1,[1 1 0 1],0.7581628662314333,0
1,[1 1 0 1],1.2035657388550345,0
0,[0 0 1 1],0.9577285439070785,1
1,[1 1 0 1],0.47283427159021724,1
0,[0 0 1 1],2.1376004841004175,1
0,[0 0 1 1],0.5344899002965454,1
0,[1 1 1 0],0.5362850341410907,1
0,[1 1 0 1],1.202471838509334,1
1,[1 1 1 0],-0.6587245138406914,1
1,[1 1 1 0],0.9947234258981896,1
1,[1 1 1 0],0.2778693570754678,1
1,[1 1 0 1],1.258072117106819,1
0,[0 0 1 1],1.2419141107436165,1
1,[1 1 1 0],0.7683294857539994,1
0,[1 1 0 1],0.7961110268905197,1
0,[1 1 0 1],0.776859036430542,1
0,[0 0 1 1],0.8495169679624239,1
1,[1 1 1 0],0.37311483517051086,1
1,[1 1 1 0],0.6632632232615523,1
1,[1 1 1 0],0.18333991512466885,1
